PRE_START	PRE_END	LAST_SCENE	MEMCUE	POST_START	POST_END
6	46	51	54	55	109
6	46	51	54	55	109
6	46	51	54	55	109
6	46	51	54	55	109
6	46	51	54	55	109
6	46	51	54	55	109
6	46	51	54	55	109
6	46	51	54	55	109
