PRE_START	PRE_END	LAST_SCENE	MEMCUE	POST_START	POST_END
7	48	53	56	57	111
7	48	53	56	57	111
7	48	53	56	57	111
7	48	53	56	57	111
7	48	53	56	57	111
7	48	53	56	57	111
7	48	53	56	57	111
7	48	53	56	57	111
